270209,,06/09/2020,,,,Aizawl,Mizoram,MZ,27,Hospitalized,,,http://twitter.com/dipr_mizoram/status/1302418915864317954,,,,,,
270210,,06/09/2020,,,,Lunglei,Mizoram,MZ,-1,Hospitalized,,,http://twitter.com/dipr_mizoram/status/1302418915864317954,,,,,,
270211,,06/09/2020,,,,Kolasib,Mizoram,MZ,5,Hospitalized,,,http://twitter.com/dipr_mizoram/status/1302418915864317954,,,,,,
270212,,06/09/2020,,,,Adilabad,Telangana,TG,22,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270213,,06/09/2020,,,,Bhadradri Kothagudem,Telangana,TG,69,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270214,,06/09/2020,,,,Hyderabad,Telangana,TG,325,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270215,,06/09/2020,,,,Jagtial,Telangana,TG,81,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270216,,06/09/2020,,,,Jangaon,Telangana,TG,39,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270217,,06/09/2020,,,,Jayashankar Bhupalapally,Telangana,TG,24,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270218,,06/09/2020,,,,Jogulamba Gadwal,Telangana,TG,21,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270219,,06/09/2020,,,,Kamareddy,Telangana,TG,86,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270220,,06/09/2020,,,,Karimnagar,Telangana,TG,144,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270221,,06/09/2020,,,,Khammam,Telangana,TG,128,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270222,,06/09/2020,,,,Komaram Bheem,Telangana,TG,25,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270223,,06/09/2020,,,,Mahabubnagar,Telangana,TG,44,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270224,,06/09/2020,,,,Mahabubabad,Telangana,TG,73,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270225,,06/09/2020,,,,Mancherial,Telangana,TG,63,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
270226,,06/09/2020,,,,Medak,Telangana,TG,34,Hospitalized,,,https://t.me/indiacovid/16780,,,,,,
